date,AverageTemperature
1853-01-01,13.387
1853-02-01,13.039
1853-03-01,11.642999999999999
1853-04-01,9.577
1853-05-01,7.2860000000000005
1853-06-01,4.342
1853-07-01,4.707
1853-08-01,5.48
1853-09-01,6.376
1853-10-01,8.841000000000003
1853-11-01,9.713
1853-12-01,12.22
1854-01-01,14.916
1854-02-01,14.892999999999999
1854-03-01,13.79
1854-04-01,9.808
1854-05-01,7.81
1854-06-01,5.92
1854-07-01,4.917
1854-08-01,5.7970000000000015
1854-09-01,6.9620000000000015
1854-10-01,8.895
1854-11-01,10.561
1854-12-01,12.478
1855-01-01,14.472999999999999
1855-02-01,13.974
1855-03-01,13.026
1855-04-01,10.638
1855-05-01,7.9250000000000025
1855-06-01,5.907
1855-07-01,5.167999999999998
1855-08-01,6.074
1855-09-01,7.108999999999999
1855-10-01,10.02
1855-11-01,10.985
1855-12-01,12.925999999999998
1856-01-01,13.08
1856-02-01,13.409
1856-03-01,12.687999999999999
1856-04-01,10.787
1856-05-01,7.045
1856-06-01,4.965999999999998
1856-07-01,4.369
1856-08-01,6.127000000000002
1856-09-01,7.5459999999999985
1856-10-01,9.542
1856-11-01,9.946
1856-12-01,14.517
1857-01-01,14.352
1857-02-01,13.619000000000002
1857-03-01,12.505
1857-04-01,10.071
1857-05-01,6.7029999999999985
1857-06-01,5.14
1857-07-01,4.74
1857-08-01,5.787000000000001
1857-09-01,7.637999999999999
1857-10-01,8.485
1857-11-01,10.34
1857-12-01,12.470999999999998
1858-01-01,12.847999999999999
1858-02-01,13.652
1858-03-01,13.017
1858-04-01,8.972000000000003
1858-05-01,7.31
1858-06-01,5.077999999999999
1858-07-01,4.419
1858-08-01,5.699
1858-09-01,7.536
1858-10-01,8.86
1858-11-01,10.832
1858-12-01,13.752
1859-01-01,14.739
1859-02-01,14.514
1859-03-01,12.818
1859-04-01,10.772
1859-05-01,8.115
1859-06-01,5.862
1859-07-01,4.744
1859-08-01,5.694999999999999
1859-09-01,6.7379999999999995
1859-10-01,10.93
1859-11-01,11.529000000000002
1859-12-01,13.161
1860-01-01,14.468
1860-02-01,14.264
1860-03-01,13.106
1860-04-01,11.076
1860-05-01,8.547
1860-06-01,6.372999999999998
1860-07-01,4.566
1860-08-01,5.167999999999998
1860-09-01,6.791999999999999
1860-10-01,9.346
1860-11-01,11.871
1860-12-01,14.521
1861-01-01,13.936
1861-02-01,16.169
1861-03-01,13.527
1861-04-01,11.214
1861-05-01,9.256
1861-06-01,6.881
1861-07-01,5.5360000000000005
1861-08-01,5.399
1861-09-01,8.401
1861-10-01,10.399
1861-11-01,11.633
1861-12-01,14.319
1862-01-01,14.122
1862-02-01,15.880999999999998
1862-03-01,13.776
1862-04-01,10.499
1862-05-01,7.322
1862-06-01,5.598
1862-07-01,4.938
1862-08-01,5.894
1862-09-01,8.344
1862-10-01,9.156
1862-11-01,12.497
1862-12-01,13.15
1863-01-01,15.145999999999999
1863-02-01,14.277
1863-03-01,12.984000000000002
1863-04-01,9.217
1863-05-01,7.4110000000000005
1863-06-01,5.142
1863-07-01,5.316
1863-08-01,5.246
1863-09-01,6.876
1863-10-01,9.289
1863-11-01,10.187000000000001
1863-12-01,12.142
1864-01-01,15.193
1864-02-01,15.193
1864-03-01,12.725
1864-04-01,11.878
1864-05-01,8.26
1864-06-01,5.765
1864-07-01,6.460999999999999
1864-08-01,5.141
1864-09-01,8.616999999999999
1864-10-01,10.189
1864-11-01,12.13
1864-12-01,14.725999999999999
1865-01-01,15.602
1865-02-01,16.006
1865-03-01,14.225
1865-04-01,11.236
1865-05-01,7.852
1865-06-01,6.276
1865-07-01,5.2570000000000014
1865-08-01,5.742999999999999
1865-09-01,8.067
1865-10-01,8.645
1865-11-01,11.689
1865-12-01,13.411
1866-01-01,14.82
1866-02-01,15.62
1866-03-01,13.082
1866-04-01,10.34
1866-05-01,8.078
1866-06-01,6.0489999999999995
1866-07-01,5.386
1866-08-01,7.0749999999999975
1866-09-01,9.041
1866-10-01,10.933
1866-11-01,12.943
1866-12-01,14.291
1867-01-01,15.936
1867-02-01,15.687
1867-03-01,13.659
1867-04-01,11.727
1867-05-01,8.085
1867-06-01,5.352
1867-07-01,6.37
1867-08-01,6.125
1867-09-01,8.543
1867-10-01,9.997
1867-11-01,10.959
1867-12-01,13.791
1868-01-01,13.684
1868-02-01,13.534
1868-03-01,13.034
1868-04-01,10.85
1868-05-01,7.854
1868-06-01,5.092
1868-07-01,5.642
1868-08-01,5.202000000000001
1868-09-01,7.649999999999999
1868-10-01,9.242
1868-11-01,11.762
1868-12-01,12.488
1869-01-01,14.603
1869-02-01,14.978
1869-03-01,13.007
1869-04-01,10.683
1869-05-01,7.0630000000000015
1869-06-01,5.971
1869-07-01,4.769
1869-08-01,6.5870000000000015
1869-09-01,8.615
1869-10-01,9.846
1869-11-01,11.765999999999998
1869-12-01,15.019
1870-01-01,15.368
1870-02-01,15.130999999999998
1870-03-01,12.619000000000002
1870-04-01,9.679
1870-05-01,7.8820000000000014
1870-06-01,6.979
1870-07-01,5.334
1870-08-01,5.654999999999999
1870-09-01,8.033
1870-10-01,10.231
1870-11-01,12.582
1870-12-01,11.907
1871-01-01,14.779000000000002
1871-02-01,13.821
1871-03-01,13.411
1871-04-01,10.454
1871-05-01,7.859
1871-06-01,5.57
1871-07-01,5.754
1871-08-01,6.377999999999999
1871-09-01,7.398999999999999
1871-10-01,9.691
1871-11-01,11.118
1871-12-01,12.984000000000002
1872-01-01,15.65
1872-02-01,15.252
1872-03-01,13.569
1872-04-01,11.445
1872-05-01,8.912
1872-06-01,5.629
1872-07-01,5.563
1872-08-01,5.399
1872-09-01,8.431999999999999
1872-10-01,9.618
1872-11-01,12.595
1872-12-01,15.565999999999999
1873-01-01,14.026
1873-02-01,14.234000000000002
1873-03-01,13.725999999999999
1873-04-01,10.282
1873-05-01,8.742
1873-06-01,6.634
1873-07-01,4.881
1873-08-01,6.5909999999999975
1873-09-01,7.6789999999999985
1873-10-01,10.293
1873-11-01,11.66
1873-12-01,14.365
1874-01-01,15.059
1874-02-01,14.541
1874-03-01,13.66
1874-04-01,10.597
1874-05-01,7.4460000000000015
1874-06-01,4.984
1874-07-01,4.6930000000000005
1874-08-01,6.4099999999999975
1874-09-01,7.491999999999999
1874-10-01,9.028
1874-11-01,11.684000000000001
1874-12-01,13.653
1875-01-01,14.961
1875-02-01,15.008
1875-03-01,13.379
1875-04-01,11.912
1875-05-01,8.088000000000001
1875-06-01,5.872999999999998
1875-07-01,5.585999999999999
1875-08-01,5.569
1875-09-01,7.233999999999999
1875-10-01,9.314
1875-11-01,10.654000000000002
1875-12-01,14.463
1876-01-01,15.189
1876-02-01,15.435
1876-03-01,14.172
1876-04-01,11.197000000000001
1876-05-01,8.521
1876-06-01,5.817
1876-07-01,4.859
1876-08-01,6.263999999999999
1876-09-01,8.097999999999999
1876-10-01,11.412
1876-11-01,12.793
1876-12-01,14.004
1877-01-01,15.044
1877-02-01,14.907
1877-03-01,13.442
1877-04-01,10.002
1877-05-01,6.972
1877-06-01,6.013
1877-07-01,4.622999999999998
1877-08-01,6.534
1877-09-01,7.6720000000000015
